_id,name,slug,parent_category
68dd587d8d5c1dd8f9cf5c96,https://www.lottemart.vn/vi-nsg/category/pizza-lau-dong-lanh-c580,pizza-lau-dong-lanh,"Pizza, Lẩu Đông Lạnh",68dd585e8d5c1dd8f9cf5c93,2025-10-01T16:36:13.402Z,2025-10-01T16:36:13.402Z
68dd587d8d5c1dd8f9cf5c97,https://www.lottemart.vn/vi-nsg/category/thuc-pham-che-bien-khac-c583,thuc-pham-che-bien-khac,Thực Phẩm Chế Biến Khác,68dd585e8d5c1dd8f9cf5c93,2025-10-01T16:36:13.402Z,2025-10-01T16:36:13.402Z
68dd588f8d5c1dd8f9cf5c98,https://www.lottemart.vn/vi-nsg/category/pizza-mi-com-dong-lanh-c581,pizza-mi-com-dong-lanh,"Pizza, Mì, Cơm Đông Lạnh",68dd587d8d5c1dd8f9cf5c96,2025-10-01T16:36:31.832Z,2025-10-01T16:36:31.832Z
68dd588f8d5c1dd8f9cf5c99,https://www.lottemart.vn/vi-nsg/category/lau-c582,lau,Lẩu,68dd587d8d5c1dd8f9cf5c96,2025-10-01T16:36:31.833Z,2025-10-01T16:36:31.833Z
68dd58ab8d5c1dd8f9cf5c9a,https://www.lottemart.vn/vi-nsg/category/cha-gio-ca-vien-c173,cha-gio-ca-vien,"Chả Giò, Cá Viên",68dd585e8d5c1dd8f9cf5c92,2025-10-01T16:36:59.879Z,2025-10-01T16:36:59.879Z
68dd58ab8d5c1dd8f9cf5c9b,https://www.lottemart.vn/vi-nsg/category/xuc-xich-lap-xuong-thit-nguoi-c174,xuc-xich-lap-xuong-thit-nguoi,"Xúc Xích, Lạp Xưởng, Thịt Nguội",68dd585e8d5c1dd8f9cf5c92,2025-10-01T16:36:59.879Z,2025-10-01T16:36:59.879Z
68dd58b68d5c1dd8f9cf5c9c,https://www.lottemart.vn/vi-nsg/category/xuc-xich-c577,xuc-xich,Xúc Xích,68dd58ab8d5c1dd8f9cf5c9b,2025-10-01T16:37:10.256Z,2025-10-01T16:37:10.256Z
68dd58b68d5c1dd8f9cf5c9d,https://www.lottemart.vn/vi-nsg/category/lap-xuong-c578,lap-xuong,Lạp Xưởng,68dd58ab8d5c1dd8f9cf5c9b,2025-10-01T16:37:10.256Z,2025-10-01T16:37:10.256Z
68dd58b68d5c1dd8f9cf5c9e,https://www.lottemart.vn/vi-nsg/category/thit-nguoi-c579,thit-nguoi,Thịt Nguội,68dd58ab8d5c1dd8f9cf5c9b,2025-10-01T16:37:10.256Z,2025-10-01T16:37:10.256Z
68dd58dd8d5c1dd8f9cf5c9f,https://www.lottemart.vn/vi-nsg/category/cha-gio-cha-re-c575,cha-gio-cha-re,"Chả Giò, Chả Rế",68dd58ab8d5c1dd8f9cf5c9a,2025-10-01T16:37:49.335Z,2025-10-01T16:37:49.335Z
68dd58dd8d5c1dd8f9cf5ca0,https://www.lottemart.vn/vi-nsg/category/ca-vien-bo-vien-c576,ca-vien-bo-vien,"Cá Viên, Bò Viên",68dd58ab8d5c1dd8f9cf5c9a,2025-10-01T16:37:49.335Z,2025-10-01T16:37:49.335Z
68dd58f98d5c1dd8f9cf5ca1,https://www.lottemart.vn/vi-nsg/category/banh-bao-banh-gio-ha-cao-c169,banh-bao-banh-gio-ha-cao,"Bánh Bao, Bánh Giò, Há Cảo",68dd585e8d5c1dd8f9cf5c91,2025-10-01T16:38:17.598Z,2025-10-01T16:38:17.598Z
68dd58f98d5c1dd8f9cf5ca2,https://www.lottemart.vn/vi-nsg/category/cha-lua-nem-c170,cha-lua-nem,"Chả Lụa, Nem",68dd585e8d5c1dd8f9cf5c91,2025-10-01T16:38:17.598Z,2025-10-01T16:38:17.598Z
68dd58f98d5c1dd8f9cf5ca3,https://www.lottemart.vn/vi-nsg/category/dau-hu-c171,dau-hu,Đậu Hủ,68dd585e8d5c1dd8f9cf5c91,2025-10-01T16:38:17.598Z,2025-10-01T16:38:17.598Z
68dd59178d5c1dd8f9cf5ca4,https://www.lottemart.vn/vi-nsg/category/banh-bao-banh-gio-c573,banh-bao-banh-gio,"Bánh Bao, Bánh Giò",68dd58f98d5c1dd8f9cf5ca1,2025-10-01T16:38:47.225Z,2025-10-01T16:38:47.225Z
68dd59178d5c1dd8f9cf5ca5,https://www.lottemart.vn/vi-nsg/category/ha-cao-dim-sum-c574,ha-cao-dim-sum,"Há Cảo, Dim Sum",68dd58f98d5c1dd8f9cf5ca1,2025-10-01T16:38:47.225Z,2025-10-01T16:38:47.225Z
68dd59458d5c1dd8f9cf5ca6,https://www.lottemart.vn/vi-nsg/category/gia-vi-c215,gia-vi,Gia Vị,68dd56228d5c1dd8f9cf5c4d,2025-10-01T16:39:33.201Z,2025-10-01T16:39:33.201Z
68dd59458d5c1dd8f9cf5ca7,https://www.lottemart.vn/vi-nsg/category/dau-an-c201,dau-an,Dầu Ăn,68dd56228d5c1dd8f9cf5c4d,2025-10-01T16:39:33.201Z,2025-10-01T16:39:33.201Z
68dd59578d5c1dd8f9cf5ca8,https://www.lottemart.vn/vi-nsg/category/nuoc-mam-nuoc-tuong-c216,nuoc-mam-nuoc-tuong,"Nước Mắm, Nước Tương",68dd59458d5c1dd8f9cf5ca6,2025-10-01T16:39:51.225Z,2025-10-01T16:39:51.225Z
68dd59578d5c1dd8f9cf5ca9,https://www.lottemart.vn/vi-nsg/category/hat-nem-bot-ngot-c217,hat-nem-bot-ngot,"Hạt Nêm, Bột Ngọt",68dd59458d5c1dd8f9cf5ca6,2025-10-01T16:39:51.226Z,2025-10-01T16:39:51.226Z
68dd59578d5c1dd8f9cf5caa,https://www.lottemart.vn/vi-nsg/category/muoi-duong-c218,muoi-duong,"Muối, Đường",68dd59458d5c1dd8f9cf5ca6,2025-10-01T16:39:51.226Z,2025-10-01T16:39:51.226Z
